,E101_1,E101_2,E101_3,E103_1,E103_2,E103_3,E105_1,E105_2,E105_3,E107_1,E107_2,E107_3,E201_1,E201_2,E201_3,E203_1,E203_2,E203_3,E205_1,E205_2,E205_3,E207_1,E207_2,E207_3,E209_1,E209_2,E209_3,E303_1,E303_2,E303_3,E305_1,E305_2,E305_3,E307_1,E307_2,E307_3,E309_1,E309_2,E309_3,E401_1,E401_2,E401_3,E403_1,E403_2,E403_3,E405_1,E405_2,E405_3,E407_1,E407_2,E407_3,E501_1,E501_2,E501_3,E503_1,E503_2,E503_3,E505_1,E505_2,E505_3,E507_1,E507_2,E507_3,E509_1,E509_2,E509_3,E603_1,E603_2,E603_3,E605_1,E605_2,E605_3,E607_1,E607_2,E607_3,E609_1,E609_2,E609_3
ASV74,1,18,19,0,8,14,0,4,15,1,3,12,2,9,12,0,5,16,8,12,5,3,2,2,4,4,1,0,2,12,0,13,9,2,10,4,5,4,10,7,25,19,0,3,11,0,0,10,1,3,11,10,16,16,0,9,9,0,6,11,4,7,5,10,7,0,12,19,18,0,14,15,1,0,15,5,9,12
ASV75,9,42,19,0,89,5,0,32,45,0,3,4,58,70,37,7,170,56,0,24,2,0,13,0,0,0,0,0,55,6,0,0,0,0,22,0,0,0,0,108,42,13,0,64,13,0,0,6,0,0,0,60,78,111,7,37,11,0,9,5,0,0,1,0,0,0,29,23,23,4,44,80,0,0,16,2,0,2
ASV77,34,45,56,19,0,46,175,0,59,155,0,67,9,30,75,54,16,69,330,47,60,204,0,46,199,50,33,68,48,52,37,40,0,50,67,37,313,33,12,0,0,36,31,0,36,11,35,48,38,70,39,44,54,88,54,52,61,80,118,68,97,216,39,338,81,21,31,62,55,9,28,39,27,40,128,154,149,93
ASV79,0,53,60,0,0,128,0,103,90,0,93,81,28,56,71,0,123,77,0,50,140,0,47,123,0,142,163,0,99,117,0,103,129,0,67,167,0,160,163,88,67,108,0,56,124,0,0,171,0,105,147,67,46,85,0,72,84,0,0,102,0,0,118,0,135,154,35,90,84,0,49,60,0,0,68,16,53,78
ASV80,0,14,13,0,23,36,0,181,70,0,183,64,8,18,15,0,85,41,0,118,21,3,153,5,0,10,3,0,43,36,0,27,24,0,53,5,4,34,8,12,44,20,0,88,21,0,0,26,0,64,34,12,39,26,0,39,74,0,0,34,0,0,26,0,28,0,0,57,37,0,27,41,0,0,28,0,41,25
ASV81,0,50,124,0,0,163,0,37,94,0,25,145,0,54,127,0,0,112,0,64,175,0,35,123,0,138,162,0,21,141,0,162,147,0,44,136,0,217,146,0,95,125,0,53,133,0,0,170,0,152,190,21,62,106,0,92,157,0,0,104,0,0,135,0,218,72,0,126,156,0,39,83,0,0,65,0,101,136
ASV82,4,63,52,0,0,8,0,15,47,0,0,16,33,46,150,0,5,96,0,9,15,0,0,10,0,7,5,0,5,13,0,3,16,0,0,2,0,0,3,56,48,68,0,25,21,0,0,23,0,3,5,95,71,63,9,38,6,0,8,13,0,0,4,0,0,0,26,19,16,0,50,27,0,0,6,0,0,5
ASV83,43,40,29,0,156,52,36,555,192,0,490,106,33,39,40,33,250,107,0,272,18,9,233,5,0,0,0,14,304,55,5,80,11,0,37,0,0,8,6,49,41,11,13,183,15,0,12,10,1,0,0,24,27,23,4,14,27,4,12,11,7,0,0,0,0,0,24,13,27,5,28,15,0,8,0,5,0,0
ASV84,2,22,25,0,34,19,6,14,23,18,7,19,4,15,22,8,18,19,63,43,29,50,32,25,45,44,18,0,42,28,0,43,24,5,70,9,91,38,9,5,25,29,0,15,35,2,0,44,4,69,67,9,18,29,2,66,64,0,15,71,20,57,50,58,53,6,17,62,65,0,27,58,3,4,131,39,68,59
ASV86,0,0,0,0,0,38,0,0,33,0,0,49,0,0,15,0,0,0,0,0,119,0,0,238,3,188,250,0,0,33,0,69,193,0,0,350,0,182,287,0,0,72,0,0,125,0,0,134,0,72,185,0,0,45,0,33,41,0,0,31,0,0,150,0,29,349,0,0,61,0,0,32,0,0,29,0,25,106
ASV88,0,45,54,0,0,109,0,102,81,0,0,97,0,34,78,0,0,68,0,45,124,0,27,112,0,157,187,0,77,82,0,92,134,0,65,211,0,170,177,0,51,99,0,31,146,0,0,170,0,72,136,66,48,90,0,75,90,0,0,64,0,0,115,0,107,217,68,105,92,0,37,52,0,0,72,15,47,120
ASV89,6,0,0,35,0,0,0,0,0,8,2,0,20,4,1,10,0,0,15,0,0,76,0,0,18,0,0,9,0,0,15,0,0,85,0,0,5,0,0,0,0,0,2,0,0,127,38,0,242,0,0,5,0,16,225,10,7,300,207,0,472,156,5,5,0,1,15,0,2,71,37,79,741,328,110,113,10,6
ASV90,0,3,7,0,11,19,13,5,7,23,2,14,0,0,8,5,4,17,65,31,17,53,6,5,39,16,7,0,0,15,0,26,13,2,16,2,139,11,3,2,5,14,0,1,10,0,0,6,2,51,25,3,0,8,0,9,16,0,6,32,10,71,28,60,31,3,3,35,15,0,18,30,0,0,73,8,103,37
ASV91,0,40,65,0,0,128,0,66,59,0,74,81,26,71,66,0,72,47,0,71,162,0,95,229,0,187,201,0,116,114,0,93,197,0,100,226,0,181,199,6,69,123,0,191,144,0,0,145,0,121,121,6,69,99,0,50,69,0,0,24,0,2,159,0,196,82,0,82,55,0,25,43,0,0,29,4,26,51
ASV92,25,0,0,15,6,0,68,5,4,63,11,14,27,6,2,68,5,0,7,7,0,28,6,2,16,2,9,51,7,0,10,0,0,481,7,4,13,0,7,7,0,0,4,1,0,15,10,2,229,9,0,0,0,0,137,6,10,0,6,0,16,73,11,0,0,6,0,0,0,392,13,23,566,530,6,28,0,3
ASV93,31,55,58,0,52,74,0,194,57,0,52,35,56,97,48,0,329,26,0,37,6,0,82,8,0,0,0,0,320,54,0,24,9,0,40,0,0,0,0,91,88,29,0,197,14,0,0,11,0,0,0,34,125,43,0,13,30,0,0,0,0,0,0,0,0,0,7,24,49,0,51,17,0,0,0,0,0,0
